"Substance","NUTS 2","NUTS 2 desc","Sector","Y_1990","Y_1991","Y_1992","Y_1993","Y_1994","Y_1995","Y_1996","Y_1997","Y_1998","Y_1999","Y_2000","Y_2001","Y_2002","Y_2003","Y_2004","Y_2005","Y_2006","Y_2007","Y_2008","Y_2009","Y_2010","Y_2011","Y_2012","Y_2013","Y_2014","Y_2015","Y_2016","Y_2017","Y_2018","Y_2019","Y_2020","Y_2021","Y_2022"
"GWP_100_AR5_GHG","ITC4","Lombardia","Industry","20237.154849707","19222.318636394","20140.887392938","19371.05508564","19849.0714824","20650.798419514","19951.142617115","20669.793567118","20479.100388107","20996.340770383","21987.98036923","22125.008221367","22217.040348346","23636.971741232","23612.820709995","23749.700532635","22622.75378237","22223.868332196","21568.982075558","17913.683413644","19274.311543746","19331.708540306","18672.256978572","16344.554154535","16157.036358578","16072.716613234","15908.681348834","15899.655815844","15903.876166458","15009.709580264","14074.380676507","15036.150341762","14643.047412474"
"GWP_100_AR5_GHG","ITC4","Lombardia","Transport","9330.8922591288","9527.1434788308","10059.841828422","10263.328543648","10257.592296648","10492.938048847","10551.365711851","10707.349553137","11075.114437826","11126.341247454","11098.340091839","11299.211689102","11513.043806607","11553.466670707","11741.476778802","11611.331213701","11701.617626797","11728.17168865","11037.787749201","10543.880589834","10293.078633091","10282.896768428","9683.6151433521","9541.0747355186","10043.905682589","9830.5915878155","9674.77828015","9279.7783993814","9581.2812662976","9652.3010913579","7802.3797344255","8679.845881693","9085.2778508751"
"GWP_100_AR5_GHG","ITC4","Lombardia","Waste","6662.7754463083","6853.1878101904","6554.3644810388","6476.1856947839","6648.8388682172","6741.7149125901","6867.4703373337","7020.9053542105","6905.7883217455","6952.6125706103","7133.7330926814","7025.8074153383","6906.3519526126","6718.4161082852","6462.46907542","6412.6976074521","6252.5496958134","6138.7983741714","5687.2293597378","5742.3135144553","5674.2969412339","5452.7514177616","5604.1127717535","5324.5449789081","5079.1287782847","4842.5530397635","4674.3485432417","4812.4744873499","4645.470548014","4543.6411384695","4366.0590521306","4287.2389608238","4194.1895513198"
"GWP_100_AR5_GHG","ITF1","Abruzzo","Agriculture","711.50133531177","703.64389806569","690.87272588264","675.17940581861","665.47645051236","653.44341550739","676.83316344245","651.62422759452","662.24919522055","664.43631658711","654.28548218249","585.95803549036","612.34692936285","592.35427419325","582.80327472763","564.16083222066","568.8545841195","574.3411485935","572.78529363446","561.56079269296","567.29104231368","546.11380490316","558.6621673861","561.60528182782","541.62425653703","514.54591044742","614.92373642448","600.96432439151","613.88610269028","605.50816021508","616.03535023145","620.29656796907","618.19991427651"
"GWP_100_AR5_GHG","ITF1","Abruzzo","Buildings","1680.2078568288","1797.8199669185","1699.5741389725","1742.7288383219","1564.9314897786","1714.5902732787","1740.5051599812","1679.4787396299","1749.052219554","1829.7356032004","1728.621166253","1815.0844060006","1748.0720959763","1862.5749003585","1883.2163485793","2006.4019725236","1890.9125501286","1779.4328721266","1813.2340035549","1838.069608252","1876.0009351472","1757.6240253465","1717.1965637492","1684.0146517392","1473.1175410037","1597.4512204362","1585.717932525","1591.4703564057","1564.8546429645","1509.1858924815","1474.2796765042","1591.0630622539","1502.3880658359"
"GWP_100_AR5_GHG","ITF1","Abruzzo","Energy","384.64696603177","442.77459049479","425.274170131","457.41090576909","1151.4604092291","1223.1374285625","1192.0867975183","1067.3025889855","1698.1438471353","1981.2299528323","2535.2580267518","2205.5874729714","1965.0398896327","1820.9653379239","1785.2216192357","1715.3717601832","1588.2418863464","1569.1269085155","3156.4768011188","2577.9673342691","2603.0376474703","2462.9643805437","2177.3624436051","1880.1165799389","1701.2719516747","1777.2252765768","2010.160609652","2144.2905962974","2002.9272553074","2153.1833443425","2013.5290006568","2169.9074764957","2327.4577535503"
"GWP_100_AR5_GHG","ITF1","Abruzzo","Industry","2209.6724209405","2189.6636577878","2206.5747019964","2107.3226843656","2178.7180668131","2271.3260566655","2246.7028616642","2307.8643269932","2373.8600833769","2442.0490756235","2522.6971335908","2506.8633701515","2560.6385052029","2726.0592950933","2539.664472722","2522.1652159244","2426.6429072756","2451.9321501297","2499.565312407","2003.6851148112","2000.6315229696","1888.6867018615","1993.7321227453","1851.2114409979","1745.7492067182","1848.9677610985","2502.3379239651","1716.4445816114","1701.9111738616","1624.7490152187","1560.6491652683","1662.1708938576","1589.4398459544"
"GWP_100_AR5_GHG","ITF1","Abruzzo","Transport","3340.3320416873","3388.1448030428","3556.0780357615","3613.4714330605","3591.1786511409","3658.0896182878","3663.7144863257","3712.4152277809","3835.8786535267","3863.8060584313","3860.526923033","3934.3056630068","4013.3650530067","4030.0069113253","4116.1102698739","4079.5978508545","4126.0930429151","4149.263406273","3900.8710602312","3713.9025665966","3623.1045422017","3635.5116898039","3411.3924336125","3332.8312750918","3488.9406870476","3394.2537365917","3349.903123268","3207.7544528828","3314.5060190149","3340.8950667259","2703.4935607806","3008.0084265216","3148.1909012497"
"GWP_100_AR5_GHG","ITF1","Abruzzo","Waste","481.65071026348","502.40994281964","470.327142041","480.29595924014","498.48100204647","512.45004297748","528.05662676913","545.7459988164","552.03639901633","558.78955205418","585.97624338169","573.74490762819","557.45632100793","536.92988702565","499.98266258907","495.7035609553","473.45292238392","458.39528901497","446.61134981706","436.32195562884","449.57263334346","430.06774593651","380.62390116335","369.07289733387","334.46766769917","286.10602902248","295.7891477666","299.75075989759","278.52853087013","266.47118127894","244.18280306282","234.02530676654","222.84426175847"
"GWP_100_AR5_GHG","ITF2","Molise","Agriculture","234.9611606549","246.26553784065","236.32973712158","239.19209826158","244.96043300889","230.44029313426","242.20013327383","233.45082643367","239.21522679429","236.10922446848","231.56351383699","208.84729621609","216.05136037863","204.57731656273","194.14210220324","188.60736625482","182.27426884181","185.52614799001","177.77297835588","181.75568719465","191.28301829676","184.02511510407","184.62879459072","185.91532648494","181.73076925641","186.5699021588","182.45176074608","183.64457258712","181.03008574496","182.88705282332","187.29036887211","189.86115660344","176.47984207627"
"GWP_100_AR5_GHG","ITF2","Molise","Buildings","441.99025734951","466.7648157153","444.86937747878","447.33145212117","405.36960851624","439.85314662841","446.97854043289","433.58419111444","438.63920606932","455.37115641683","432.88492182836","452.19377572902","436.98092815702","456.31753841655","459.33541953059","487.09919747046","462.47045096218","432.87972499221","434.59643174686","440.25858334744","445.58624531118","417.93983049744","411.00578434998","386.36176878466","340.51469980607","369.03768044409","366.38529862059","368.62714910889","348.15855236189","335.60909538795","328.4811247324","355.23241596386","339.47762223306"
"GWP_100_AR5_GHG","ITF2","Molise","Energy","168.12039246044","193.5266478076","1897.7687845479","1955.9162879796","1583.4043204347","1649.0726482748","1542.2268649254","1096.7163809218","1267.8006424266","1353.845017489","2027.9545263735","1761.8029964849","1568.9215263466","1364.6628921566","1229.0988816465","1169.4916457549","2885.1723377409","2843.8983063335","2474.1518410879","1988.8180714102","1989.5338498339","1867.2418611632","1674.1571409124","1348.8400382137","1213.8411367024","1232.6660401554","1414.9244618947","1524.0782572053","1394.8427571667","1517.0578324502","1428.4652885964","1543.0845599769","1660.1444991838"
"GWP_100_AR5_GHG","ITF2","Molise","Industry","1114.3398249024","1072.4314420383","1090.0014913387","987.37353903705","979.86742821076","1035.5663511779","993.28221876048","1016.6302052656","1040.7247258463","1122.8691702636","1159.2121879502","1147.1970546505","1172.9494247835","1273.9672500797","1321.8711830724","1340.5258811498","1264.8735921434","1282.1263345965","1188.385259374","843.30904555955","831.13830465692","838.52424150051","742.86068408898","657.22052149688","598.21565146074","630.83202922344","626.33273436055","561.66919718694","564.36017118708","549.5424270813","516.99172973083","557.70003570398","528.33301439105"
"GWP_100_AR5_GHG","ITF2","Molise","Transport","1062.4153604668","1075.1801831361","1126.2261121932","1142.8122986339","1133.5611669203","1153.0365481898","1154.5856586418","1170.5950177657","1210.6994714526","1222.7363938557","1224.6187930105","1249.9912935162","1276.8713713876","1283.5721256839","1314.7211823408","1305.4228762589","1322.8896142413","1332.9261203636","1253.6884219142","1192.915815251","1164.3405013975","1170.8802776171","1095.5743068275","1065.3675418807","1113.5383689874","1076.7046932013","1063.6697355683","1017.6140040211","1051.5303862237","1060.2438247648","858.12760370052","954.62663269521","998.61751433944"
"GWP_100_AR5_GHG","ITF2","Molise","Waste","64.15189447528","68.557911767026","64.209806627885","66.724912641747","68.791762062459","69.151294329797","70.562151114282","72.251179612907","75.311796661234","75.727834534335","75.991631361461","74.135076393642","72.942502158904","72.295655953994","70.85696688134","68.95688343887","66.521223143839","64.805863987739","64.653013115737","62.942638587507","62.344331111221","58.389054429604","58.373608081082","58.193395686453","53.532720114133","50.769074620611","50.093137129935","48.790781763865","46.296627525743","44.82882081361","42.372731568251","41.241058954663","39.880201379419"
"GWP_100_AR5_GHG","ITF3","Campania","Agriculture","947.53231567595","971.86997503808","945.18824667672","941.64828174058","943.45472571519","908.09071264147","939.06232136236","910.38880967308","927.36963739507","926.4189371539","908.59079282213","829.02870685768","854.87006905177","815.09463448641","787.3301874256","758.33588589438","754.59833726475","763.4571981908","739.75356343619","735.34318077996","755.2517573972","729.94255494436","741.90759742072","743.35924364419","727.24974702432","737.50704490511","744.93427356604","739.96644899232","742.81880021169","738.8579363136","756.49641959088","763.42285867529","733.98217164845"
"GWP_100_AR5_GHG","ITF3","Campania","Buildings","6119.65788105","6597.5256916746","6213.1509557183","6331.6496300613","5675.3832940356","6216.5079678294","6307.9822052878","6153.0508671179","6456.1377256457","6779.4922506549","6423.7575324426","6736.6955297725","6435.1080919407","6816.4228983731","6920.1574515574","7391.8533927144","6981.3519507695","6472.0447327288","6643.5432034559","6689.370838778","6802.3352344856","6336.0937868526","6297.2005209204","6132.2800270566","5284.9554319525","5793.6138563519","5756.6462856806","5796.4649307185","5726.1876630766","5588.8558609015","5423.5696063196","5813.7183718976","5484.3223452976"
"GWP_100_AR5_GHG","ITF3","Campania","Energy","489.42292579117","563.38423199222","541.11678237372","582.00740824719","603.83522992466","667.65456333049","702.52139575919","2163.3618704479","2555.214888762","2731.079845351","3450.0466469907","3000.8255608653","2673.368106137","2455.6122751668","2380.8986856275","2284.9349733937","2111.1686917412","3857.6599185479","3384.0623656754","3416.7105828233","3446.9879792429","3259.0882640331","2884.8806552164","2343.2927619938","2121.010405929","2218.9880473246","2507.9014122327","2673.8743803715","2500.2693642528","2686.2025931609","2511.0663416529","2705.743762166","2901.7330473143"
"GWP_100_AR5_GHG","ITF3","Campania","Industry","3476.6559453294","3331.116008494","3336.0755979442","3103.9783837275","3161.739857376","3303.0491824785","3241.6441336773","3316.6952142024","3302.5239075935","3508.4974414576","3628.1256237566","3598.1956877119","3698.2173853387","3917.4725376753","3856.5494782973","3890.9951713325","3744.1386756385","3746.9066329409","3634.8258125554","3056.7849227429","2811.5959022657","2908.5936236487","2635.4357820733","2673.8606403398","2578.0079318674","2790.8118813219","2730.1754499754","2652.3993089907","2642.5799845815","2487.2539619218","2363.9659649165","2494.2585854278","2386.2882866686"
"GWP_100_AR5_GHG","ITF3","Campania","Transport","5501.8125034962","5596.7243585647","5889.588489939","5995.0315758486","5973.2056053005","6096.0931441167","6118.9128248151","6207.9142673544","6420.7929896581","6462.6438690289","6457.2821580909","6580.4780127809","6712.1463018192","6740.9995004779","6872.2674542152","6806.9951116603","6876.362678447","6906.9931905891","6497.7645183909","6196.7526816495","6049.1981890073","6059.213794194","5691.0674357592","5576.1222457252","5852.0091375163","5698.9257321379","5617.0308258483","5382.7047420929","5559.7814808651","5602.9405003297","4531.7530663058","5041.3604312177","5275.4986584712"
"GWP_100_AR5_GHG","ITF3","Campania","Waste","777.83516460031","806.6320071928","756.24888871226","729.71019743368","758.92215627574","776.29403963221","794.60868800611","821.50389188549","783.97205280111","791.96415086371","828.00791468527","808.59506374686","785.83331210268","755.58702301021","704.52472779044","696.58629638299","669.00957970999","648.73925301108","603.37200090796","604.14698418301","608.44171117162","559.41775022768","547.48975318171","532.61057306417","495.47704661066","455.09672016089","424.54052801485","453.59865764984","428.11154392924","410.45435687398","377.19084087059","363.76870360159","347.67566833798"
"GWP_100_AR5_GHG","ITF4","Puglia","Agriculture","834.90798311414","830.23388165818","815.47404151822","796.35004226539","784.52478633727","774.08511355553","797.1157201696","768.02464823976","781.06411882305","783.96574978983","771.17103555837","681.99360381485","716.00708953396","691.15133575251","681.78486089109","657.95416635827","666.47710638688","673.06012378904","671.0676979217","652.587159814","655.60137246383","636.85331261087","649.70393255138","650.14055380823","638.98400362031","628.89739129957","673.87179585585","662.21402015111","675.05558295857","662.93678332962","675.09571182709","678.74266065515","677.47741385021"
